DMModule,submodel,Tables,url,Table,Abbreviation,Description,TableModule,Activity code
Accounting,Accounting Entry,GACCENTRYA.htm,https://online-help.sageerpx3.com/erp/12/wp-static-content/static-pages/en_US/MCD/GACCENTRYA.htm,GACCENTRYA,DAA,Analytical accounting line,Financials,
Accounting,Accounting Entry,GACCENTRYD.htm,https://online-help.sageerpx3.com/erp/12/wp-static-content/static-pages/en_US/MCD/GACCENTRYD.htm,GACCENTRYD,DAE,Accounting entry lines,Financials,
Accounting,Accounting Entry,GACCOUNT.htm,https://online-help.sageerpx3.com/erp/12/wp-static-content/static-pages/en_US/MCD/GACCOUNT.htm,GACCOUNT,GAC,Accounts,Common Data,
Accounting,Accounting Entry,CACCE.htm,https://online-help.sageerpx3.com/erp/12/wp-static-content/static-pages/en_US/MCD/CACCE.htm,CACCE,CCE,Dimensions,Common Data,
Accounting,Accounting Entry,GDIE.htm,https://online-help.sageerpx3.com/erp/12/wp-static-content/static-pages/en_US/MCD/GDIE.htm,GDIE,DIE,Dimension types,Common Data,
Accounting,Accounting Entry,GCOA.htm,https://online-help.sageerpx3.com/erp/12/wp-static-content/static-pages/en_US/MCD/GCOA.htm,GCOA,COA,Chart of accounts,Common Data,
Accounting,Accounting Entry,GLED.htm,https://online-help.sageerpx3.com/erp/12/wp-static-content/static-pages/en_US/MCD/GLED.htm,GLED,LED,Ledger,Common Data,
Accounting,Accounting Entry,GACM.htm,https://online-help.sageerpx3.com/erp/12/wp-static-content/static-pages/en_US/MCD/GACM.htm,GACM,GCM,Account core model,Common Data,
Accounting,Accounting Entry,CADSP.htm,https://online-help.sageerpx3.com/erp/12/wp-static-content/static-pages/en_US/MCD/CADSP.htm,CADSP,DSP,Analytical allocations,Common Data,
Accounting,Accounting Entry,GACCENTRY.htm,https://online-help.sageerpx3.com/erp/12/wp-static-content/static-pages/en_US/MCD/GACCENTRY.htm,GACCENTRY,HAE,Accounting entries,Financials,
Accounting,Accounting Entry,SOI.htm,https://online-help.sageerpx3.com/erp/12/wp-static-content/static-pages/en_US/MCD/SOI.htm,SOI,SOI,Statement creation,A/P-A/R accounting,
Accounting,Accounting Entry,GACCDUDATE.htm,https://online-help.sageerpx3.com/erp/12/wp-static-content/static-pages/en_US/MCD/GACCDUDATE.htm,GACCDUDATE,DUD,Open items,Common Data,
