Table,Abbreviation,Description,Module,Activity code,TablesMappedToModelOnly,TablesMappedToSubModel,linkedTablewithDescription
AABREV,AAB,Abbreviation,Supervisor,,,,
ABANK,ABN,Bank sort codes,Supervisor,,,,TABCOUNTRY  (Country table  )
ADELIVER,ADLV,Deliverable,Supervisor,,,,"TABCOUNTRY  (Country table  ) , TABLAN  (Language table  ) , ATABDIV  (Miscellaneous tables  ) , ADELIVER  (Deliverable  ) , TABCUR  (Currency table  )"
ABATABT,ABA,Batch server (recurring tasks),Supervisor,,,,"ABATCAL  (Batch server calendar  ) , ABATABT  (Batch server (recurring tasks)  ) , ADOSSIER  (Folder table  ) , ABATGRP  (Batch server (groups)  ) , TABLAN  (Language table  ) , ABATTAC  (Batch server (tasks)  )"
ADOSSIER,ADS,Folder table,Supervisor,,,,"TABCOUNTRY  (Country table  ) , ADOSSIER  (Folder table  ) , TABLAN  (Language table  ) , ATABDIV  (Miscellaneous tables  ) , TABCUR  (Currency table  )"
ABATABTD,ABD,Batch server (recurring tasks),Supervisor,,,,"ABATABT  (Batch server (recurring tasks)  ) , ABATTAC  (Batch server (tasks)  )"
ALNKSUB,ALB,Subdivision links,Supervisor,,,,TABCOUNTRY  (Country table  )
ABATABTD2,A22,Batch server (recurring tasks),Development,,,,
BID,BID,Bank ID statement,Supervisor,,Common data,"Company and Sites,Business Partner","TABCOUNTRY  (Country table  ) , TABCUR  (Currency table  )"
ABATCAL,ABC,Batch server calendar,Supervisor,,,,ABATCAL  (Batch server calendar  )
BPADDRESS,BPA,Addresses,Supervisor,,"Common data,Customer relation","Company and Sites,Business Partner,Installed Base",TABCOUNTRY  (Country table  )
ABATGRP,ABG,Batch server (groups),Supervisor,,,,"ABATGRP  (Batch server (groups)  ) , ABATTAC  (Batch server (tasks)  ) , ABATHOR  (Hourly constraints  )"
COMPANY,CPY,Company,Supervisor,,"Accounting,Common data,Customer relation,Fixed assets,Sales","Accounting Entry,Accounting Entry By Lot,Accounting Data,Budgets,Company and Sites,Business Partner,Service contract,Fixed Asset,Quotation,Normal Sales Orders,Cumulative Sales Orders,Sales Deliveries,Sales Invoice,Sales Returns","TABCOUNTRY  (Country table  ) , ATABDIV  (Miscellaneous tables  ) , TABCUR  (Currency table  ) , COMPANY  (Company  ) , FACILITY  (Sites  ) , GACCCODE  (Accounting codes  ) , CACCE  (Dimensions  ) , GDIE  (Dimension types  ) , GACM  (Account core model  ) , PBDECOCOD  (Economic reason code  ) , CONTACTCRM  (Contact relationships  ) , BPARTNER  (Business partner  ) , PRICSTRUCT  (Price structure (cust/supp)  ) , CAECOD  (  ) , SFOOTINV  (Invoicing elements  )"
ABATHOR,ABH,Hourly constraints,Supervisor,,,,"ABATCAL  (Batch server calendar  ) , ABATHOR  (Hourly constraints  )"
CONTACTCRM,AIN,Contact relationships,Supervisor,,"Common data,Customer relation","Business Partner,Service request,Service contract,Service response,Installed Base,Customer relations 1,Customer relations 2","TABCOUNTRY  (Country table  ) , TABLAN  (Language table  ) , ATABDIV  (Miscellaneous tables  ) , CONTACTCRM  (Contact relationships  )"
ABATPAR,ABP,Batch server (parameters),Supervisor,,,,
FACILITY,FCY,Sites,Supervisor,,"Accounting,Common data,Customer relation,Fixed assets,Manufacturing,Purchasing,Sales","Accounting Entry,Accounting Entry By Lot,Accounting Data,Budgets,Payment,Company and Sites,Item,Business Partner,Service request,Service contract,Service response,Installed Base,Marketing,Customer relations 1,Customer relations 2,Fixed Asset,Technical Data,Manufacturing Orders,Master Planning Schedule,Standard Cost Calculation,Purchase Requests,Request For Quotations,Normal Purchase Orders,Cumulative Purchase Orders,Purchase Receipts,Purchase Returns,Purchase Invoice,External Orders,Quotation,Normal Sales Orders,Cumulative Sales Orders,Sales Deliveries,Sales Invoice,Sales Returns","TABCOUNTRY  (Country table  ) , ATABDIV  (Miscellaneous tables  ) , COMPANY  (Company  ) , FACILITY  (Sites  ) , GACCCODE  (Accounting codes  ) , CACCE  (Dimensions  ) , WAREHOUSE  (Warehouses  ) , CONTACTCRM  (Contact relationships  ) , BANK  (Bank accounts  ) , TABUNAVAIL  (Unavailable periods  )"
ABATRQT,ABR,Batch server (queries),Supervisor,,,,"ABATABT  (Batch server (recurring tasks)  ) , ADOSSIER  (Folder table  ) , ABATGRP  (Batch server (groups)  ) , TABLAN  (Language table  ) , ABATTAC  (Batch server (tasks)  )"
POSCOD,POS,Postal codes,Supervisor,,Common data,Common Tables,TABCOUNTRY  (Country table  )
