Linked object,Linked table,dataType,filler1,filler2,filler3
,,Alphanumeric,,,
AAR,ACTCODPAR,Alphanumeric,,,
,,Image file,,,
ABA,ABATABT,Alphanumeric,,,
,,Image file,,,
ABC,ABATCAL,Alphanumeric,,,
,,Image file,,,
ABF,ABITABDAT,Alphanumeric,,,ABI
ABG,ABATGRP,Alphanumeric,,,
ABH,ABATHOR,Alphanumeric,,,
ABI,ABIDIM,Alphanumeric,,,ABI
,,Image file,,,
ABM,ABIDATMRT,Alphanumeric,,,ABI
ABO,ABIREPORT,Alphanumeric,10c,,ABI
,,Alphanumeric,A7u,,
,,Short integer,,,
ABT,ABATTAC,Alphanumeric,,,
ABV,ABIREGORG,Alphanumeric,,,ABI
ABW,ABIDATWRH,Alphanumeric,,,ABI
,,Alphanumeric,,,
,,Text file,,,
,,Text file,,,
,,Text file,,,
ACG,ACHANGE,Alphanumeric,,,
ACL,ACTL,Alphanumeric,,,
ACLA,ACLASSE,Alphanumeric,A11B,,
ACN,ACONSULT,Alphanumeric,,,
,,Text file,,,
,,Alphanumeric,,,
,,Text file,,,
ACS,ACCCOD,Alphanumeric,,,
ACST,ACONSTANT,Alphanumeric,A11u,,
ACT,ACTION,Alphanumeric,,,
ACTX,ACONTEXT,Alphanumeric,A11u,,
ACV,ACTIV,Alphanumeric,,,
,,Datetime,,,
,,Alphanumeric,12u>18u,,
,,Alphanumeric,,,
ADI,ATABDIV,Alphanumeric,20B,,
,,Alphanumeric,=GFMT,,
ADLK,ADELIVER,Alphanumeric,,,
ADLV,ADELIVER,Alphanumeric,,,
,,Alphanumeric,,,
,,Alphanumeric,,,
ADS,ADOSSIER,Alphanumeric,A9B,,
ADV,ATABTAB,Short integer,,,
,,Alphanumeric,,,
ADZ,ADOCFLD,Alphanumeric,,,
AEV,AEXPV3,Alphanumeric,,,
,,Alphanumeric,,,
AFC,AFONCTION,Alphanumeric,,,
,,Alphanumeric,,,
,,Alphanumeric,,,
AFT,AFCTFCT,Alphanumeric,,,
AGB,AGLOBVAR,Alphanumeric,12u>18u,,
AGF,AGRPFCY,Alphanumeric,,,
AGF,AGRPFCY,Alphanumeric,,,
AHH,ABIHIERA,Alphanumeric,10c,,ABI
AHI,AHISTO,Alphanumeric,,,
AII,ABICOND,Alphanumeric,10c,,ABI
AIM,APRINTER,Alphanumeric,,,
AIN,CONTACTCRM,Alphanumeric,,,
AIU,ABIPRFUSR,Alphanumeric,,,ABI
ALH,ALISTEH,Alphanumeric,,,
,,Alphanumeric,,,
,,Alphanumeric,,,
AME,AMETUTI,Alphanumeric,,,
AMK,AMSK,Alphanumeric,,,
,,Alphanumeric,,,
,,Long integer,,,
ANG,ANAVIG,Alphanumeric,,,
ANM,ACODNUM,Alphanumeric,,,
ANU,ANNUAIRE,Alphanumeric,,,
,,Alphanumeric,,,
AOB,AOBJET,Alphanumeric,,,
AOE,AOBJEXT,Alphanumeric,,,
,,Alphanumeric,,,
AOR,AOBJEXTR,Short integer,,,
,,Alphanumeric,,,
AP2,APRTBRW,Alphanumeric,,,
APH,APATCHMOD,Alphanumeric,,,
APN,APROFIL,Alphanumeric,,,
APP,APTLPAR,Alphanumeric,,,APL
APR,APROCESSUS,Alphanumeric,,,
APS,APTLPAGE,Alphanumeric,,,
,,Alphanumeric,,,
APV,APTLVW,Alphanumeric,,,APL
,,Alphanumeric,,,
ARC,ARCHPAR,Alphanumeric,,,
,,Alphanumeric,,,
ARP,AREPORT,Alphanumeric,,,
ARU,ARCHPARU,Alphanumeric,,,
,,Alphanumeric,,,
ARZ,AREPORTZ,Alphanumeric,,,
ASB,ABLBSYS,Alphanumeric,,,
ASL,ASTYLEC,Alphanumeric,,,
,,Alphanumeric,30u,,
,,Alphanumeric,,,
,,Alphanumeric,,,
,,Alphanumeric,,,
ASW,ASHW,Alphanumeric,A11B,,
ASY,ASTYLE,Alphanumeric,,,
,,Alphanumeric,,,
,,Local menu,,7806,
ATB,ATABLE,Alphanumeric,A11B,,
ATN,ATRANSAC,Alphanumeric,,,
ATP,APORTTYP,Alphanumeric,,,
,,Long integer,,,
ATY,ATYPE,Alphanumeric,,,
ATYP,ATYPEPRO,Alphanumeric,,,
AUR,AURL,Alphanumeric,,,
AUS,AUTILIS,Alphanumeric,,,
,,UUID,,,
,,Alphanumeric,A11u,,
,,Alphanumeric,12u>18u,,
,,Alphanumeric,,,
AVL,AVOLUME,Alphanumeric,,,
AVP,APORTVIG,Alphanumeric,,,
,,Alphanumeric,,,
,,Alphanumeric,,,
AVW,AVIEW,Alphanumeric,A11B,,
,,Alphanumeric,,,
AWA,AWRKPAR,Alphanumeric,,,
,,Alphanumeric,,,
AWM,AWRKLNK,Alphanumeric,,,
AWR,AWRKREG,Alphanumeric,,,
AWW,AWRKTRN,Alphanumeric,,,
,,Alphanumeric,,,
,,Alphanumeric,,,
,,Alphanumeric,,,
,,Alphanumeric,,,
AYP,ASTYLEP,Alphanumeric,,,
BAN,BANK,Alphanumeric,5c,,
,,Alphanumeric,5c,,
BCG,BPCCATEG,Alphanumeric,5c,,
,,Alphanumeric,9#,,KPL
