Table,Abbreviation,Description,Module,Activity code,Column,Normal title,Dim.,Type,Length,Menu,Link expression,Cancellation,Act
AABREV,AAB,Abbreviation,Supervisor,,ABREV,Abbreviation,,A,15.0,,,,
AABREV,AAB,Abbreviation,Supervisor,,AUUID,Single identifier,,AUUID,,,,,
AABREV,AAB,Abbreviation,Supervisor,,CREDATTIM,Date time,,ADATIM,,,,,
AABREV,AAB,Abbreviation,Supervisor,,CREUSR,User,,AUS,,,[AUS]CODUSR=[AAB]CREUSR,Other,
AABREV,AAB,Abbreviation,Supervisor,,MOT,Word,,A,30.0,,,,
AABREV,AAB,Abbreviation,Supervisor,,UPDDATTIM,Date time,,ADATIM,,,,,
AABREV,AAB,Abbreviation,Supervisor,,UPDUSR,User,,AUS,,,[AUS]CODUSR=[AAB]UPDUSR,Other,
ABANK,ABN,Bank sort codes,Supervisor,,AUUID,Single identifier,,AUUID,,,,,
ABANK,ABN,Bank sort codes,Supervisor,,BAN,Bank,,A,20.0,,,,
ABANK,ABN,Bank sort codes,Supervisor,,BIC,BIC code,,A,11.0,,,,
ABANK,ABN,Bank sort codes,Supervisor,,CREDAT,Date created,,D,,,,,
ABANK,ABN,Bank sort codes,Supervisor,,CREDATTIM,Date time,,ADATIM,,,,,
ABANK,ABN,Bank sort codes,Supervisor,,CREUSR,Creation user,,AUS,,,[AUS]CODUSR=[ABN]CREUSR,Other,
ABANK,ABN,Bank sort codes,Supervisor,,CRY,Cnty,,CRY,,,[TCY]TCY0=[ABN]CRY,Block,
ABANK,ABN,Bank sort codes,Supervisor,,PAB,Paying bank,,PAB,,,,,
ABANK,ABN,Bank sort codes,Supervisor,,PORBANCOD,Bank code,,A,4.0,,,,PBDPO
ABANK,ABN,Bank sort codes,Supervisor,,UPDDAT,Change date,,D,,,,,
ABANK,ABN,Bank sort codes,Supervisor,,UPDDATTIM,Date time,,ADATIM,,,,,
ABANK,ABN,Bank sort codes,Supervisor,,UPDUSR,Change user,,AUS,,,[AUS]CODUSR=[ABN]UPDUSR,Other,
ABANK,ABN,Bank sort codes,Supervisor,,VLYEND,Validity end date,,D,,,,,
ABANK,ABN,Bank sort codes,Supervisor,,VLYSTR,Validity start date,,D,,,,,
ABATABT,ABA,Batch server (recurring tasks),Supervisor,,AUUID,Single identifier,,AUUID,,,,,
ABATABT,ABA,Batch server (recurring tasks),Supervisor,,CAL,Calendar,,ABC,,,[ABC]ABC0=[ABA]CAL,Block,
ABATABT,ABA,Batch server (recurring tasks),Supervisor,,CNTERR,Proceed if error,,M,4.0,1.0,,,
ABATABT,ABA,Batch server (recurring tasks),Supervisor,,CODABT,Recurring task code,,ABA,,,[ABA]CODABT=[ABA]CODABT,Delete,
ABATABT,ABA,Batch server (recurring tasks),Supervisor,,CREDAT,Date created,,D,,,,,
ABATABT,ABA,Batch server (recurring tasks),Supervisor,,CREDATTIM,Date time,,ADATIM,,,,,
ABATABT,ABA,Batch server (recurring tasks),Supervisor,,CRETIM,Time,,L,8.0,,,,
ABATABT,ABA,Batch server (recurring tasks),Supervisor,,CREUSR,Creation user,,AUS,,,[AUS]CODUSR=[ABA]CREUSR,Other,
ABATABT,ABA,Batch server (recurring tasks),Supervisor,,DATDEP,Base date,10.0,M,15.0,910.0,,,
ABATABT,ABA,Batch server (recurring tasks),Supervisor,,DATFRM,Formula,10.0,AFR,250.0,,,,
ABATABT,ABA,Batch server (recurring tasks),Supervisor,,DATJRS,Time unit,10.0,M,15.0,913.0,,,
ABATABT,ABA,Batch server (recurring tasks),Supervisor,,DATNBR,Increment,10.0,C,3.0,,,,
ABATABT,ABA,Batch server (recurring tasks),Supervisor,,DATZON,Date field,10.0,A,20.0,,,,
ABATABT,ABA,Batch server (recurring tasks),Supervisor,,DJOUR,Last date,,D,,,,,
ABATABT,ABA,Batch server (recurring tasks),Supervisor,,DOSSIER,Folder,,ADS,,,[ADS]DOSSIER=[ABA]DOSSIER,Delete,
ABATABT,ABA,Batch server (recurring tasks),Supervisor,,DREL,Reminder,,M,4.0,1.0,,,
ABATABT,ABA,Batch server (recurring tasks),Supervisor,,ENAFLG,Active,,M,4.0,1.0,,,
ABATABT,ABA,Batch server (recurring tasks),Supervisor,,EPUR,Purge,,M,4.0,1.0,,,
ABATABT,ABA,Batch server (recurring tasks),Supervisor,,FDM,Month end,,M,4.0,1.0,,,
ABATABT,ABA,Batch server (recurring tasks),Supervisor,,FORCE,Forced execution,,M,4.0,1.0,,,
ABATABT,ABA,Batch server (recurring tasks),Supervisor,,FRQ,Frequency (min),,L,8.0,,,,
ABATABT,ABA,Batch server (recurring tasks),Supervisor,,GRP,Group,,ABG,,,[ABG]ABG0=[ABA]GRP,Block,
ABATABT,ABA,Batch server (recurring tasks),Supervisor,,HDEB,Start time,,HM,,,,,
ABATABT,ABA,Batch server (recurring tasks),Supervisor,,HEURE,Time,3.0,HM,,,,,
ABATABT,ABA,Batch server (recurring tasks),Supervisor,,HFIN,End time,,HM,,,,,
ABATABT,ABA,Batch server (recurring tasks),Supervisor,,JOUR,Current date,7.0,M,4.0,1.0,,,
ABATABT,ABA,Batch server (recurring tasks),Supervisor,,LAN,Language,,LAN,,,[TLA]TLA0=[ABA]LAN,Other,
ABATABT,ABA,Batch server (recurring tasks),Supervisor,,NBDAT,No. of lines,,C,3.0,,,,
ABATABT,ABA,Batch server (recurring tasks),Supervisor,,NOMABT,Description,,DES,,,,,
ABATABT,ABA,Batch server (recurring tasks),Supervisor,,ONE,One single query,,M,4.0,1.0,,,
ABATABT,ABA,Batch server (recurring tasks),Supervisor,,PERIO,Periodicity,,M,15.0,911.0,,,
ABATABT,ABA,Batch server (recurring tasks),Supervisor,,QUANT,Days of the month,5.0,C,2.0,,,,
ABATABT,ABA,Batch server (recurring tasks),Supervisor,,TACHE,Task code,,ABT,,,[ABT]CODTAC=[ABA]TACHE,Delete,
ABATABT,ABA,Batch server (recurring tasks),Supervisor,,UPDDAT,Change date,,D,,,,,
ABATABT,ABA,Batch server (recurring tasks),Supervisor,,UPDDATTIM,Date time,,ADATIM,,,,,
ABATABT,ABA,Batch server (recurring tasks),Supervisor,,UPDTIM,Time,,L,8.0,,,,
ABATABT,ABA,Batch server (recurring tasks),Supervisor,,UPDUSR,Change user,,AUS,,,[AUS]CODUSR=[ABA]UPDUSR,Other,
ABATABT,ABA,Batch server (recurring tasks),Supervisor,,USER,User code,,AUS,,,[AUS]CODUSR=[ABA]USER,Other,
ABATABTD,ABD,Batch server (recurring tasks),Supervisor,,AUUID,Single identifier,,AUUID,,,,,
ABATABTD,ABD,Batch server (recurring tasks),Supervisor,,CODABT,Recurring task code,,ABA,,,[ABA]CODABT=[ABD]CODABT,Delete,
