Table,Abbreviation,Description,Column,Normal title,Type,Link expression,TableName____ColumnName____Columndescription
AABREV,AAB,Abbreviation,ABREV,Abbreviation,A,,AABREV___ABREV___Abbreviation
AABREV,AAB,Abbreviation,AUUID,Single identifier,AUUID,,AABREV___AUUID___Single identifier
AABREV,AAB,Abbreviation,CREDATTIM,Date time,ADATIM,,AABREV___CREDATTIM___Date time
AABREV,AAB,Abbreviation,CREUSR,User,AUS,[AUS]CODUSR=[AAB]CREUSR,AABREV___CREUSR___User
AABREV,AAB,Abbreviation,MOT,Word,A,,AABREV___MOT___Word
AABREV,AAB,Abbreviation,UPDDATTIM,Date time,ADATIM,,AABREV___UPDDATTIM___Date time
AABREV,AAB,Abbreviation,UPDUSR,User,AUS,[AUS]CODUSR=[AAB]UPDUSR,AABREV___UPDUSR___User
ABANK,ABN,Bank sort codes,AUUID,Single identifier,AUUID,,ABANK___AUUID___Single identifier
ABANK,ABN,Bank sort codes,BAN,Bank,A,,ABANK___BAN___Bank
ABANK,ABN,Bank sort codes,BIC,BIC code,A,,ABANK___BIC___BIC code
ABANK,ABN,Bank sort codes,CREDAT,Date created,D,,ABANK___CREDAT___Date created
ABANK,ABN,Bank sort codes,CREDATTIM,Date time,ADATIM,,ABANK___CREDATTIM___Date time
ABANK,ABN,Bank sort codes,CREUSR,Creation user,AUS,[AUS]CODUSR=[ABN]CREUSR,ABANK___CREUSR___Creation user
ABANK,ABN,Bank sort codes,CRY,Cnty,CRY,[TCY]TCY0=[ABN]CRY,ABANK___CRY___Cnty
ABANK,ABN,Bank sort codes,PAB,Paying bank,PAB,,ABANK___PAB___Paying bank
ABANK,ABN,Bank sort codes,PORBANCOD,Bank code,A,,ABANK___PORBANCOD___Bank code
ABANK,ABN,Bank sort codes,UPDDAT,Change date,D,,ABANK___UPDDAT___Change date
ABANK,ABN,Bank sort codes,UPDDATTIM,Date time,ADATIM,,ABANK___UPDDATTIM___Date time
ABANK,ABN,Bank sort codes,UPDUSR,Change user,AUS,[AUS]CODUSR=[ABN]UPDUSR,ABANK___UPDUSR___Change user
ABANK,ABN,Bank sort codes,VLYEND,Validity end date,D,,ABANK___VLYEND___Validity end date
ABANK,ABN,Bank sort codes,VLYSTR,Validity start date,D,,ABANK___VLYSTR___Validity start date
ABATABT,ABA,Batch server (recurring tasks),AUUID,Single identifier,AUUID,,ABATABT___AUUID___Single identifier
ABATABT,ABA,Batch server (recurring tasks),CAL,Calendar,ABC,[ABC]ABC0=[ABA]CAL,ABATABT___CAL___Calendar
ABATABT,ABA,Batch server (recurring tasks),CNTERR,Proceed if error,M,,ABATABT___CNTERR___Proceed if error
ABATABT,ABA,Batch server (recurring tasks),CODABT,Recurring task code,ABA,[ABA]CODABT=[ABA]CODABT,ABATABT___CODABT___Recurring task code
ABATABT,ABA,Batch server (recurring tasks),CREDAT,Date created,D,,ABATABT___CREDAT___Date created
ABATABT,ABA,Batch server (recurring tasks),CREDATTIM,Date time,ADATIM,,ABATABT___CREDATTIM___Date time
ABATABT,ABA,Batch server (recurring tasks),CRETIM,Time,L,,ABATABT___CRETIM___Time
ABATABT,ABA,Batch server (recurring tasks),CREUSR,Creation user,AUS,[AUS]CODUSR=[ABA]CREUSR,ABATABT___CREUSR___Creation user
ABATABT,ABA,Batch server (recurring tasks),DATDEP,Base date,M,,ABATABT___DATDEP___Base date
ABATABT,ABA,Batch server (recurring tasks),DATFRM,Formula,AFR,,ABATABT___DATFRM___Formula
ABATABT,ABA,Batch server (recurring tasks),DATJRS,Time unit,M,,ABATABT___DATJRS___Time unit
ABATABT,ABA,Batch server (recurring tasks),DATNBR,Increment,C,,ABATABT___DATNBR___Increment
ABATABT,ABA,Batch server (recurring tasks),DATZON,Date field,A,,ABATABT___DATZON___Date field
ABATABT,ABA,Batch server (recurring tasks),DJOUR,Last date,D,,ABATABT___DJOUR___Last date
ABATABT,ABA,Batch server (recurring tasks),DOSSIER,Folder,ADS,[ADS]DOSSIER=[ABA]DOSSIER,ABATABT___DOSSIER___Folder
ABATABT,ABA,Batch server (recurring tasks),DREL,Reminder,M,,ABATABT___DREL___Reminder
ABATABT,ABA,Batch server (recurring tasks),ENAFLG,Active,M,,ABATABT___ENAFLG___Active
ABATABT,ABA,Batch server (recurring tasks),EPUR,Purge,M,,ABATABT___EPUR___Purge
ABATABT,ABA,Batch server (recurring tasks),FDM,Month end,M,,ABATABT___FDM___Month end
ABATABT,ABA,Batch server (recurring tasks),FORCE,Forced execution,M,,ABATABT___FORCE___Forced execution
ABATABT,ABA,Batch server (recurring tasks),FRQ,Frequency (min),L,,ABATABT___FRQ___Frequency (min)
ABATABT,ABA,Batch server (recurring tasks),GRP,Group,ABG,[ABG]ABG0=[ABA]GRP,ABATABT___GRP___Group
ABATABT,ABA,Batch server (recurring tasks),HDEB,Start time,HM,,ABATABT___HDEB___Start time
ABATABT,ABA,Batch server (recurring tasks),HEURE,Time,HM,,ABATABT___HEURE___Time
ABATABT,ABA,Batch server (recurring tasks),HFIN,End time,HM,,ABATABT___HFIN___End time
ABATABT,ABA,Batch server (recurring tasks),JOUR,Current date,M,,ABATABT___JOUR___Current date
ABATABT,ABA,Batch server (recurring tasks),LAN,Language,LAN,[TLA]TLA0=[ABA]LAN,ABATABT___LAN___Language
ABATABT,ABA,Batch server (recurring tasks),NBDAT,No. of lines,C,,ABATABT___NBDAT___No. of lines
