Table V9.0,keyName,OriginalKey,ExpandedKey,Duplicate,Activity code
AABREV,AAB0,ABREV,ABREV(Abbreviation) +   ,No,
AABREV,AAB1,MOT,MOT(Word) +   ,No,
ABANK,ABN0,CRY+BAN,CRY(Cnty) +   BAN(Bank) +   ,No,
ABATABT,CODABT,CODABT,CODABT(Recurring task code) +   ,No,
ABATABTD,ABD0,CODABT+CODTAC+LIG+NUM+PARAM,CODABT(Recurring task code) +   CODTAC(Task code) +   LIG(Line number) +   NUM(Number) +   PARAM(Parameter) +   ,No,
ABATABTD2,ABD0,CODABT+CODTAC+LIG+NUM,CODABT +   CODTAC +   LIG +   NUM +   ,No,
ABATCAL,ABC0,COD,COD(Calendar) +   ,No,
ABATGRP,ABG0,CODGRP,CODGRP(Group) +   ,No,
ABATHOR,ABH0,COD,COD(Constraint) +   ,No,
ABATPAR,SPOOL,SPOOL,SPOOL(Search key) +   ,No,
ABATRQT,NUMREQ,NUMREQ,NUMREQ(Query no.) +   ,No,
ABATRQT,PRIO,DAT+HEURE+NUMREQ,DAT(Date) +   HEURE(Time) +   NUMREQ(Query no.) +   ,No,
ABATRQT,FLAG,FLAG+NUMREQ,FLAG(Status) +   NUMREQ(Query no.) +   ,No,
ABATRQT,FLAG2,FLAG+DAT+HEURE+NUMREQ,FLAG(Status) +   DAT(Date) +   HEURE(Time) +   NUMREQ(Query no.) +   ,No,
ABATRQT2,NUMREQ,NUMREQ,NUMREQ +   ,No,
ABATRQT2,PRIO,DAT+HEURE+NUMREQ,DAT +   HEURE +   NUMREQ +   ,No,
ABATRQTL,NUMREQ,NUMREQ+NUM+PARAM,NUMREQ(Query no.) +   NUM(Number) +   PARAM(Parameter) +   ,No,
ABATTAC,CODTAC,CODTAC,CODTAC(Task code) +   ,No,
ABICOND,AII0,COD,COD(Code) +   ,No,
ABICOND,AII1,ORD+COD,ORD(Order) +   COD(Code) +   ,No,
ABICOND,AII2,ABM+CODABF+COD,ABM(Datamart) +   CODABF(Fact table) +   COD(Code) +   ,No,
ABIDATMRT,ABM0,COD,COD(Code) +   ,No,
ABIDATMRT,ABM1,ABR,ABR(Abbreviation) +   ,Yes,
ABIDATWRH,ABW0,COD,COD(Code) +   ,No,
ABIDIM,ABI0,CODDIM,CODDIM(Dimension) +   ,No,
ABIDIMFLD,ABJ0,CODDIM+NUMDIM+FLDDIM,CODDIM(Dimension) +   NUMDIM(Line number) +   FLDDIM(Field code) +   ,No,
ABIDIMFLD,ABJ1,CODDIM+FLDDIM,CODDIM(Dimension) +   FLDDIM(Field code) +   ,No,
ABIDIMFLD,DICO,FLDDIM,FLDDIM(Field code) +   ,Yes,
ABIHIERA,AHH0,COD,COD(Code) +   ,No,
ABIHIERA,AHH1,ABM+COD,ABM(Datamart) +   COD(Code) +   ,No,
ABIPRFUSR,AIU0,PRF,PRF(Profile code) +   ,No,
ABIREGDES,ABY0,CODREG+NUMDES,CODREG(Rule) +   NUMDES(Line number) +   ,No,
ABIREGDES,ABY1,CODREG+FLDDES,CODREG(Rule) +   FLDDES(Field) +   ,No,
ABIREGDES,ABY2,CODREG+TABDES+NUMDES,CODREG(Rule) +   TABDES(Destination table) +   NUMDES(Line number) +   ,No,
ABIREGORG,ABV0,CODREG,CODREG(Rule) +   ,No,
ABIREGORG,ABV1,TABORG+CODREG,TABORG(Origin table) +   CODREG(Rule) +   ,No,
ABIREPORT,ABO0,COD,COD(Code) +   ,No,
ABIREPORT,ABO1,REPCOD+COD,REPCOD(BO report) +   COD(Code) +   ,No,
ABIREPORT,ABO2,DATAM+COD,DATAM(Datamart) +   COD(Code) +   ,Yes,
ABIREPORTD,ABQ0,COD+LIG,COD(Code) +   LIG(Line) +   ,No,
ABIREPORTID,ABOID0,COD+DATAW+LAN,COD(Code) +   DATAW(Data warehouse) +   LAN(Languages) +   ,No,
ABITABAGG,ABE0,CODABF+NUMAGG+CODAGG,CODABF(Fact tables) +   NUMAGG(Aggregate) +   CODAGG(Name) +   ,No,
ABITABAGG,ABE1,CODABF+CODAGG,CODABF(Fact tables) +   CODAGG(Name) +   ,No,
ABITABDAT,ABF0,CODABF,CODABF(Code) +   ,No,
ABITABFLD,ABZ0,CODABF+NUMFLD+CODFLD,CODABF(Fact tables) +   NUMFLD(Line no.) +   CODFLD(Field code) +   ,No,
ABITABFLD,ABZ1,CODABF+CODFLD,CODABF(Fact tables) +   CODFLD(Field code) +   ,No,
ABITABFLD,DICO,CODFLD,CODFLD(Field code) +   ,Yes,
ABITABIND,ABX0,CODABF+NUMIND,CODABF(Fact tables) +   NUMIND(Line number) +   ,No,
ABITABLNK,ABK0,CODABF+NUMLNK,CODABF(Fact tables) +   NUMLNK(Line number) +   ,No,
ABITRAUNV,ATV0,ABM+RAPORT+LANTRA+TEXTE,ABM(Datamart) +   RAPORT(Report) +   LANTRA(Translation language) +   TEXTE(Text) +   ,No,
ABITRAUNV,ATV1,ABM+RAPORT+LANTRA+TYPERR+TEXTE,ABM(Datamart) +   RAPORT(Report) +   LANTRA(Translation language) +   TYPERR(Error) +   TEXTE(Text) +   ,No,
ABLBSYS,ASB0,CAT+CODFIC,CAT(Category) +   CODFIC(Code) +   ,No,
ABLOB,ABB0,CODBLB+IDENT1+IDENT2+IDENT3,CODBLB(Code) +   IDENT1(Identifier 1) +   IDENT2(Identifier 2) +   IDENT3(Identifier 3) +   ,No,
ACALCUL,AKL0,USR+NUM,USR(Code) +   NUM(Sequence no.) +   ,No,
ACCCOD,ACS0,CODACC,CODACC(Access code) +   ,No,
ACCES,CODACC,USR+CODACC,USR(User code) +   CODACC(Access code) +   ,Yes,
ACCES,PRFCOD,PRFCOD+CODACC+USR,PRFCOD(Profile code) +   CODACC(Access code) +   USR(User code) +   ,No,
ACHANGE,ACG0,COD+LIG,COD(Code) +   LIG(Line no.) +   ,No,
ACLACOL,ACLAC0,CODCLA+CODCOL,CODCLA(Class code) +   CODCOL(Collection) +   ,No,
ACLAFLD,ACLAF0,CODCLA+FLDCLA,CODCLA(Class code) +   FLDCLA(Field code) +   ,No,
ACLAFLD,ACLAF1,CODCLA+NUMLIG+FLDCLA,CODCLA(Class code) +   NUMLIG(Line no.) +   FLDCLA(Field code) +   ,No,
ACLAFLD,ACLAF2,CODCLA+NUMFLD+NUMLIG+FLDCLA,CODCLA(Class code) +   NUMFLD(Order) +   NUMLIG(Line no.) +   FLDCLA(Field code) +   ,No,
ACLALNK,ACLAK0,CODCLA+REFLNK,CODCLA(Class code) +   REFLNK(Pointer) +   ,No,
ACLALNK,ACLAK1,CODCLA+NUMLIG+REFLNK,CODCLA(Class code) +   NUMLIG(Line no.) +   REFLNK(Pointer) +   ,No,
ACLAMAP,ACLAKP0,CODCLA+REFLNK+KEYMAP,CODCLA(Class code) +   REFLNK(Pointer) +   KEYMAP(Column) +   ,No,
ACLAMET,ACLAM0,CODCLA+CODMET,CODCLA(Class code) +   CODMET(Method code) +   ,No,
ACLAMET,ACLAM1,CODCLA+NOMET+CODMET,CODCLA(Class code) +   NOMET(Method no.) +   CODMET(Method code) +   ,No,
ACLAMETSTD,ACLAT0,CODCLA+CODMETSTD,CODCLA(Class code) +   CODMETSTD(Method code) +   ,No,
ACLAMETSTD,ACLAT1,CODCLA+NOMETSTD+CODMETSTD,CODCLA(Class code) +   NOMETSTD(Method no.) +   CODMETSTD(Method code) +   ,No,
ACLAOPT,ACLAO0,CODCLA+OPTCOD,CODCLA(Class code) +   OPTCOD(Option code) +   ,No,
ACLAPARDEF,ACLPD0,CODCLA+CODE+CODPAR,CODCLA(Class code) +   CODE(Method code) +   CODPAR(Parameter code) +   ,No,
ACLAPARDEF,ACLPD1,CODCLA+CODE+NOPAR+CODPAR,CODCLA(Class code) +   CODE(Method code) +   NOPAR(Order) +   CODPAR(Parameter code) +   ,Yes,
ACLAPARFLD,ACLFP0,CODCLA+TYPPAR+TYPKEY+FLDCLA+CODPAR,CODCLA(Class code) +   TYPPAR(Parameter type) +   TYPKEY(Keys) +   FLDCLA(Field code) +   CODPAR(Parameter code) +   ,No,
ACLAPARFLD,ACLFP1,CODCLA+TYPPAR+TYPKEY+FLDCLA+NUMPAR,CODCLA(Class code) +   TYPPAR(Parameter type) +   TYPKEY(Keys) +   FLDCLA(Field code) +   NUMPAR(Number) +   ,Yes,
ACLASSE,ACLA0,CODCLA,CODCLA(Class code) +   ,No,
ACLBSYS,ASA0,CAT+CODFIC,CAT(Category) +   CODFIC(Code) +   ,No,
ACLOB,ACB0,CODBLB+IDENT1+IDENT2+IDENT3,CODBLB(Code) +   IDENT1(Identifier 1) +   IDENT2(Identifier 2) +   IDENT3(Identifier 3) +   ,No,
ACODIF,ACO0,ABB,ABB(Abbreviation) +   ,No,
ACODIF,ACO1,ENGDES,ENGDES(English description) +   ,Yes,
ACODIF,ACO2,FREDES,FREDES(Description) +   ,Yes,
ACODNUM,ANM0,CODNUM,CODNUM(Sequence number) +   ,No,
ACONSTANT,ACST0,CODVAR,CODVAR(Variable code) +   ,No,
ACONSTANT,ACST1,CATEG+CODVAR,CATEG(Category) +   CODVAR(Variable code) +   ,No,
ACONSULT,ACN0,COD,COD(Code) +   ,No,
ACONTEXT,ACTX0,CODCTX,CODCTX(Context code) +   ,No,
ACONTEXT,ACTX1,CHAPTER+RANG+CODCTX,CHAPTER(Chapter) +   RANG(Sequence) +   CODCTX(Context code) +   ,No,
ACONTEXT,ACTX2,PARAM+CODCTX,PARAM(Parameter) +   CODCTX(Context code) +   ,No,
ACTCODPAR,CODPAR,CODPAR,CODPAR(Parameter code) +   ,No,
ACTION,ACTION,ACTION,ACTION(Action code) +   ,No,
ACTIV,CODACT,CODACT,CODACT(Activity code) +   ,No,
ACTIV,ACV1,MODULE+CODACT,MODULE(Module) +   CODACT(Activity code) +   ,No,
ACTIV,ACV2,ORDRE+CODACT,ORDRE(Order) +   CODACT(Activity code) +   ,No,
ACTL,ACL0,CTL,CTL(Table) +   ,No,
ACTLDEV,ACD0,COD,COD(Development code) +   ,No,
ACTPAR,NOPAR,ACTION+NOPAR,ACTION(Action code) +   NOPAR(Parameter no.) +   ,No,
ACTPAR,CODPAR,CODPAR,CODPAR(Parameter code) +   ,Yes,
ADELETE,ADL0,NUM,NUM(Number) +   ,No,
ADELETE,ADL1,OBJ+CLE1+CLE2,OBJ(Object) +   CLE1(Identifier) +   CLE2(Identifier) +   ,No,
ADELIVER,ADLV0,COD,COD(Code) +   ,No,
ADELIVERB,ADLB0,COD+CODFNC+CODBDG,COD(Code) +   CODFNC(Function) +   CODBDG(Badge) +   ,No,
ADELIVERB,ADLB1,COD+CODBDG+CODFNC,COD(Code) +   CODBDG(Badge) +   CODFNC(Function) +   ,No,
ADELIVERD,ADLD0,COD+CODACT,COD(Code) +   CODACT(Activity code) +   ,No,
ADELIVERL,ADLL0,COD+FNCLIM,COD(Code) +   FNCLIM(Function limits) +   ,No,
ADELIVERO,ADLO0,COD+TABCOD+TABKEY,COD(Code) +   TABCOD(Table) +   TABKEY(Record key) +   ,No,
ADELIVERO,ADLO1,COD+TABCOD+TABAWM,COD(Code) +   TABCOD(Table) +   TABAWM(Template) +   ,Yes,
ADELIVERP,ADLP0,COD+PARAM+CLEPARAM,COD(Code) +   PARAM(Description) +   CLEPARAM(Key) +   ,No,
ADELIVERR,ADLR0,COD+CODASW+CODBDG,COD(Code) +   CODASW(Representation) +   CODBDG(Badge) +   ,No,
ADELIVERT,ADLT0,COD+CODSES+CODDVC,COD(Code) +   CODSES(Session type) +   CODDVC(Device) +   ,No,
ADICTRT,ADC0,CODTRT,CODTRT(Processing) +   ,No,
ADIMENSION,ADM0,COD,COD(Code) +   ,No,
ADIMENSION,ADM1,ORDRE+COD,ORDRE(Order) +   COD(Code) +   ,No,
ADOCBLB,ADB0,LAN+TYP+COD+LEV+SUBLEV+LIG,LAN(Language) +   TYP(Type of document) +   COD(Code) +   LEV(Level) +   SUBLEV(Sub-level) +   LIG(Line) +   ,No,
ADOCCLB,ADH0,LAN+TYP+COD+LEV+SUBLEV,LAN(Language) +   TYP(Type of document) +   COD(Code) +   LEV(Level) +   SUBLEV(Sub-level) +   ,No,
ADOCFLD,ADZ0,LAN+MOTCLE,LAN(Language) +   MOTCLE(Key word) +   ,No,
ADOCFLD,ADZ1,MOTCLE+LAN,MOTCLE(Key word) +   LAN(Language) +   ,No,
